# TeXdoc database file
# some documentation is included in .sty files only; texdoctk needs keys for
# extracting it at the beginning of the 4th field:
# -0-: no specific place; -1-: at end, behind \endinput; -2-: at beginning,
# terminated by %%%%%%; -3-: at beginning, terminated with blank line
@Fundamentals/general references
metapost2;MetaPost Manual;metapost/base/mpman.ps;PostScript, Bezier curves, boxes, drawing, graphs, plots, grid
metapost3;MetaPost graphics tutorial;metapost/base/mpgraph.pdf;PostScript, Bezier curves, boxes, drawing, graphs, plots, grid
PStricks1o;PS commands in LaTeX, part 1 (PStricks);generic/pstricks/obsolete/pst-usr1.ps;PostScript, colour, graphs, curves, grids
PStricks2o;PS commands in LaTeX, part 2 (PStricks);generic/pstricks/obsolete/pst-usr2.ps;PostScript, lines, arrows, rotate
PStricks3o;PS commands in LaTeX, part 3 (PStricks);generic/pstricks/obsolete/pst-usr3.ps;PostScript, rotate, box, clip, text, nodes
PStricks4o;PS commands in LaTeX, part 4 (PStricks);generic/pstricks/obsolete/pst-usr4.ps;PostScript, filling
PStricksq;PStricks Quick Reference (PStricks);generic/pstricks/obsolete/pst-quik.ps;PostScript
PStricks5o;Changes in "PS commands in LaTeX, part 1" (PStricks);generic/pstricks/obsolete/betadoc1.ps;PostScript, arrows, nodes
PStricks6o;Changes in "PS commands in LaTeX, part 2" (PStricks);generic/pstricks/obsolete/betadoc2.ps;PostScript, nodes, trees
PStricks1;PStricks Area filling/tiling (PStricks);generic/pstricks/pst-fill.pdf;PostScript
pst-blur;Blurred shadows with PStricks (pst-blur);generic/pstricks/pst-blur.pdf;PostScript
pst-gr3d;3D grids with PStricks (pst-gr3d);generic/pstricks/pst-gr3d.pdf;PostScript
pst-lens;Lens effects with PStricks (pst-lens);generic/pstricks/pst-lens.pdf;PostScript
pst-poly;Polygon drawing with PStricks (pst-poly);generic/pstricks/pst-poly.pdf;PostScript
pst-slpe;Improved gradient fill styles with PStricks (pst-slpe);generic/pstricks/pst-slpe.pdf;PostScript
psgo;Go diagrams with PStricks (psgo);latex/psgo/psgo.pdf;PostScript
pstricksbug;PStricks bug list;generic/pstricks/pstricks.bug;PostScript
PSfrag;Insert LaTeX constructs in PS figures (PSfrag);latex/psfrag/pfgguide.ps;PostScript, scale
fancybox;Fancy boxes and box macros (fancybox);latex/styles/fancybox.dvi;
psboxit;Put PS drawing behind TeX box (psboxit);latex/misc/psboxit.sty;-0-, PostScript, boxes
framed;framed/shaded regions with page breaks (framed);latex/misc/framed.sty;-2-, boxes
pspicture;Extended picture environment (pspicture);latex/carlisle/pspicture.dvi;picture, drawing, PostScript
#
@Tables, arrays and lists
longtable;Large tables 1 (longtable);latex/tools/longtable.dvi;
supertabular;Large tables 2 (supertabular);latex/supertab/supertabular.dvi;
xtab;Page breaking extension for supertabular (xtab);latex/xtab/xtab.dvi;large tables
tabularx;Modification of tabular column widths (tabularx);latex/tools/tabularx.dvi;
ltxtable;Combination longtable/tabularx (ltxtable);latex/carlisle/ltxtable.dvi;large tables
colortbl;Coloured tables (colortbl);latex/carlisle/colortbl.ps;
dcolumn;Alignment on decimal point (dcolumn);latex/tools/dcolumn.dvi;tables
multirow;Table entry spanning multiple rows (multirow);latex/multirow/multirow.sty;-0-, tables
hhline;Single/double lines in tables (hhline);latex/tools/hhline.dvi;
slashbox;Divide a cell with a long slash (slashbox);latex/slashbox/slashbox.dvi;
booktabs;Nice table style manipulation (booktabs);latex/booktabs/booktabs.dvi;
threeparttable;Table divided into caption, body, notes (threeparttable);latex/misc/threeparttable.sty;-1-
